2024-05-18T04:35:51+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: index
2024-05-18T04:35:51+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: denied
2024-05-18T04:35:56+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: ordercommision, Action: index
2024-05-18T04:36:23+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: sales_order, Action: index
2024-05-18T05:19:17+00:00 DEBUG (7): Event: controller_action_predispatch, Module: cms, Controller: index, Action: index
2024-05-18T05:19:29+00:00 DEBUG (7): Event: controller_action_predispatch, Module: cms, Controller: index, Action: noRoute
2024-05-18T05:19:40+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: index, Action: index
2024-05-18T05:19:43+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: dashboard, Action: index
2024-05-18T05:19:51+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: catalog_product, Action: index
2024-05-18T05:21:29+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: catalog_product, Action: edit
2024-05-18T05:22:05+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: catalog_product, Action: edit
2024-05-18T05:23:45+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: catalog_product, Action: edit
2024-05-18T05:24:19+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: catalog_product, Action: edit
2024-05-18T05:25:51+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: catalog_product, Action: edit
2024-05-18T05:26:20+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: catalog_product_attribute, Action: index
2024-05-18T05:26:26+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: catalog_product_attribute, Action: index
2024-05-18T05:27:52+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: catalog_product_attribute, Action: index
2024-05-18T05:29:29+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: catalog_product_attribute, Action: index
2024-05-18T05:30:48+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: catalog_product_attribute, Action: index
2024-05-18T05:31:18+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: catalog_product_attribute, Action: index
2024-05-18T05:34:51+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: catalog_product_attribute, Action: index
2024-05-18T05:36:52+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: catalog_product_attribute, Action: index
2024-05-18T05:39:15+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: catalog_product_attribute, Action: index
2024-05-18T05:39:24+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: catalog_product, Action: index
2024-05-18T05:39:29+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: catalog_product, Action: edit
2024-05-18T10:38:09+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: index, Action: index
2024-05-18T10:38:09+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: index, Action: login
2024-05-18T10:38:44+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: index, Action: index
2024-05-18T10:39:02+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: index, Action: index
2024-05-18T10:39:02+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: index, Action: login
2024-05-18T10:39:38+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: index, Action: index
2024-05-18T10:39:45+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: dashboard, Action: index
2024-05-18T10:42:21+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: dashboard, Action: index
2024-05-18T11:05:32+00:00 DEBUG (7): Event: controller_action_predispatch, Module: admin, Controller: salesman, Action: index
